dinhDanh,nhanHienThi,moTa
Thuong_Mai,Thỏa Thuận Thương Mại,"Thỏa thuận thương mại là một hiệp định hoặc thỏa thuận thuế, thuế quan và thương mại rộng rãi thường bao gồm bảo lãnh đầu tư. Nó tồn tại khi hai hoặc nhiều quốc gia đồng ý về các điều khoản giúp họ giao dịch với nhau."
Hat_Nhan,Thỏa Thuận phi hạt nhân hóa ,Thỏa thuận phi hạt nhân là một hiệp định thỏa thuận về vấn đề hạt nhân nhằm rải trừ vũ khí hạt nhân giữa 2 quốc gia 
Kinh_te,Thỏa thuận hợp tác kinh tế ,"Thỏa thuận hợp tác kinh tế là một thỏa thuận giữa 2 tổ chức hoặc 2 quốc gia nhằm thúc đẩy hợp tác về các vấn đề kinh tế , thương mại ."
DOC,Bộ quy tắc ứng xử trên Biển Đông DOC,"DOC là một văn kiện được các nước ASEAN  và Trung Quốc ký kết ngày 4 tháng 11 năm 2002 tại Phnom Penh, Campuchia nhân dịp Hội nghị Thượng đỉnh ASEAN lần thứ 8.Đây là văn kiện chính trị đầu tiên mà ASEAN và Trung Quốc đạt được có liên quan đến vấn đề Biển Đông và được coi là bước đột phá trong quan hệ ASEAN-Trung Quốc về vấn đề Biển Đông ."
Nhan_quyen,Dự luật bảo vệ nhân quyền Hồng Kong,"Đạo luật Nhân quyền và Dân chủ Hồng Kông năm 2019 là một dự luật của Quốc hội Hoa Kỳ, trong số những điều khác, yêu cầu chính phủ Hoa Kỳ áp dụng các biện pháp trừng phạt đối với các quan chức Trung Quốc và Hồng Kông chịu trách nhiệm về vi phạm nhân quyền ở Hồng Kông"
